"Valor","Data do Recebimento","Status do Débito","Descrição"
"R$ 42,75","01/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 42,75","01/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 42,75","01/02/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 199,50","01/02/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","01/02/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","01/02/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","01/02/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 285,00","01/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","01/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","01/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","01/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","01/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 285,00","01/02/2024","Pago","MENSALIDADE FAMILIAR"
"R$ 310,00","01/02/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","01/02/2024","Pago","Mensalidade"
"R$ 310,00","01/02/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","01/02/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 310,00","01/02/2024","Pago","MENSALIDADE PATRIMONIAL"
"R$ 42,75","01/03/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 48,75","01/03/2024","Pago","MENSALIDADE FAMILIAR E2"
"R$ 87,50","01/03/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 100,00","01/03/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 100,00","01/03/2024","Pago","MENSALIDADE ESTUDANTE 3"
"R$ 125,00","01/03/2024","Pago","MENSALIDADE ESTUDANTE"
"R$ 125,00","01/03/2024","Pago","MENSALIDADE ESTUDANTE"
"R$ 199,50","01/03/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 199,50","01/03/2024","Pago","MENSALIDADE FAMILIAR 3"
"R$ 200,00","01/03/2024","Pago","FUTEBOL DE DOMINGO"
"R$ 228,00","01/03/2024","Pago","MENSALIDADE FAMILIAR"
